127.0.0.1 - - [08/Apr/2025:13:31:39 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:32:09 +0200] "GET /bilboSKP/Login.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:32:09 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:32:17 +0200] "GET /bilboSKP/login.jsp HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:32:17 +0200] "GET /bilboSKP/styles/style.css HTTP/1.1" 200 2673
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:32:17 +0200] "GET /bilboSKP/styles/login.css HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:32:17 +0200] "GET /bilboSKP/bilboskp-high-resolution-logo-removebg-preview.png HTTP/1.1" 200 21312
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:34:08 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:34:54 +0200] "GET /bilboSKP/Login.html HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:20 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:21 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:21 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:21 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:21 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:21 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:21 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:22 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:22 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:22 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:22 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:22 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:22 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:23 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:23 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:23 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:23 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:23 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:23 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:24 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:24 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [08/Apr/2025:13:38:24 +0200] "GET /bilboSKP/login2.jsp HTTP/1.1" 200 1857
